City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Kavaratti,IN,81.82,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
477,Mocuba,MZ,74.05,overcast clouds,-16.8392,36.9856,Phama Lodge
479,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
480,Vao,NC,75.02,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
481,Sibolga,ID,83.91,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
492,Boende,CD,72.79,overcast clouds,-0.2167,20.8667,
493,Skeldon,GY,74.59,broken clouds,5.8833,-57.1333,Rits Hotel
497,Bac Lieu,VN,80.11,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
502,Bosaso,SO,70.95,few clouds,11.2842,49.1816,Red Sea Hotel
510,Sinnamary,GF,75.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Moyamba,SL,72.07,clear sky,8.1667,-12.4333,Sarah Jalloh Guest House
517,Conceicao Da Barra,BR,74.53,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
519,Cravo Norte,CO,79.03,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
520,Mathbaria,BD,71.42,clear sky,22.2876,89.9593,Shikdar Hotel
521,Boffa,GN,70.0,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
525,Santo Andre,BR,71.6,broken clouds,-23.6639,-46.5383,Mercure Santo Andre Hotel
527,San Borja,BO,73.29,broken clouds,-14.8167,-66.85,
531,Sapele,NG,74.91,broken clouds,5.8941,5.6767,Movig Hotel & Suites
533,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
534,Sambava,MG,78.71,light rain,-14.2667,50.1667,Melrose
535,Oranjestad,AW,78.8,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
536,Nueva Loja,EC,72.18,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
543,Sungaipenuh,ID,75.63,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
544,Oriximina,BR,73.74,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
546,Noumea,NC,82.4,clear sky,-22.2763,166.4572,Hôtel Le Lagon
547,Quatre Cocos,MU,82.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
548,Tual,ID,84.13,broken clouds,-5.6667,132.75,Grand Vilia Hotel
549,Luangwa,ZM,72.18,moderate rain,-15.6167,30.4167,Gerasimos Safari Lodge
