City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Boyolangu,ID,-8.1181,111.8935,85.37,61,100,3.83,overcast clouds
317,Srednekolymsk,RU,67.45,153.6833,-40.72,81,28,3.6,scattered clouds
318,Wukari,NG,7.85,9.7833,69.44,24,87,6.08,overcast clouds
319,Senanga,ZM,-16.1167,23.2667,66.87,96,100,4.18,light rain
320,Taltal,CL,-25.4,-70.4833,64.74,73,6,2.3,clear sky
321,Buchanan,LR,5.8808,-10.0467,77.4,87,9,4.25,clear sky
322,Mackay,AU,-21.15,149.2,86.0,58,40,14.97,scattered clouds
323,Rognan,NO,67.0953,15.3878,19.99,58,75,33.38,light snow
324,Spassk,RU,52.747,87.7545,25.07,97,100,2.19,light snow
325,Meadow Lake,US,34.8014,-106.5436,44.6,53,20,4.61,few clouds
326,Sassandra,CI,4.95,-6.0833,76.95,89,11,4.47,few clouds
327,Howard Springs,AU,-12.497,131.047,89.01,70,75,11.5,moderate rain
328,Dunedin,NZ,-45.8742,170.5036,58.93,67,87,7.0,light rain
329,Yenagoa,NG,4.9247,6.2642,75.25,92,77,1.66,broken clouds
330,North Platte,US,41.1239,-100.7654,33.01,68,90,5.73,overcast clouds
331,Sirvintos,LT,55.05,24.95,33.01,93,75,12.66,broken clouds
332,Willowmore,ZA,-33.2926,23.4895,72.12,51,83,5.68,broken clouds
333,Sydney,AU,-33.8679,151.2073,91.99,40,0,11.5,clear sky
334,Corinto,GR,37.9407,22.9573,48.99,62,70,3.0,broken clouds
335,Berlevag,NO,70.8578,29.0864,21.09,93,100,21.85,light snow
336,Vardo,NO,70.3705,31.1107,23.0,95,100,26.78,snow
337,Esperance,AU,-33.8667,121.9,78.8,50,0,11.5,clear sky
338,Yulara,AU,-25.2406,130.9889,102.2,7,29,12.66,scattered clouds
339,Bay Roberts,CA,47.5999,-53.2648,30.0,96,100,11.01,snow
340,Pingdu,CN,36.7844,119.9464,37.4,81,90,6.71,mist
341,Slave Lake,CA,55.2834,-114.769,24.8,86,90,10.36,light snow
342,Borba,BR,-4.3878,-59.5939,71.58,98,100,1.63,overcast clouds
343,Alta Floresta,BR,-9.8756,-56.0861,69.85,98,100,3.18,overcast clouds
344,The Valley,AI,18.217,-63.0578,77.0,83,20,4.61,few clouds
345,Zambezi,ZM,-13.5432,23.1047,63.54,97,100,3.58,moderate rain
346,Pauini,BR,-7.7136,-66.9764,72.91,98,100,2.26,overcast clouds
347,Kalmunai,LK,7.4167,81.8167,79.88,79,96,2.08,light rain
348,Muros,ES,42.7762,-9.0603,51.01,88,100,5.99,overcast clouds
349,Sri Aman,MY,1.2376,111.4621,80.6,89,40,1.23,scattered clouds
